"segmentid","street","direction","count_mm"
"27836","OCEAN PARKWAY","NB","672"
"27836","OCEAN PARKWAY","SB","672"
"27888","CATON PLACE","EB","1344"
"27896","CATON AVENUE","EB","1344"
"27934","SEELEY STREET","EB","390"
"27936","PROSPECT PARK SOUTHWEST","NB","391"
"27936","PROSPECT PARK SOUTHWEST","SB","4319"
"27937","PROSPECT PARK SOUTHWEST","SB","390"
"28012","CONEY ISLAND AVENUE","NB","1344"
"28013","CATON AVENUE","WB","1344"
"28065","DORCHESTER ROAD","WB","509"
"28085","BEVERLY ROAD","EB","448"
"28085","BEVERLY ROAD","WB","511"
"28236","CROOKE AVENUE","WB","24"
"28276","EAST LAKE DRIVE","EB","2887"
"28276","EAST LAKE DRIVE","WB","1446"
"28378","FLATBUSH AVENUE","NB","372"
"28378","FLATBUSH AVENUE","SB","373"
"28382","FLATBUSH AVENUE","SB","4225"
"28390","FLATBUSH AVENUE","SB","375"
"28394","FLATBUSH AVENUE","NB","655"
"28394","FLATBUSH AVENUE","SB","378"
"28666","NEWKIRK AVENUE","EB","880"
"28671","NOSTRAND AVENUE","SB","878"
"28736","NEW YORK AVENUE","NB","864"
"28736","NEW YORK AVENUE","SB","864"
"28860","CLARKSON AVENUE","EB","864"
"28860","CLARKSON AVENUE","WB","864"
"28880","PROSPECT PARK WEST","SB","4322"
"28913","7 AVENUE","SB","4226"
"28932","6 AVENUE","NB","672"
"28932","6 AVENUE","SB","672"
"28956","ATLANTIC AVENUE","EB","768"
"28956","ATLANTIC AVENUE","WB","768"
"28957","FLATBUSH AVENUE","NB","768"
"28957","FLATBUSH AVENUE","SB","768"
"28958","4 AVENUE","SB","768"
"28962","FLATBUSH AVENUE","NB","768"
"28981","FULTON STREET","EB","672"
"28981","FULTON STREET","WB","672"
"29100","LAFAYETTE AVENUE","EB","672"
"29120","PROSPECT PARK WEST","SB","4319"
"29135","FLATBUSH AVENUE","SB","4227"
"29246","VANDERBILT AVENUE","NB","864"
"29246","VANDERBILT AVENUE","SB","864"
"29280","FLATBUSH AVENUE","SB","4317"
"29302","UNION STREET","EB","24"
