"requestid","boro","yr","m","d","hh","mm","vol","segmentid","wktgeom","street","fromst","tost","direction"
"17976","Queens","2015","2","7","22","45","62","156485","POINT (1015934.7231410058 218639.46263506316)","23 AVENUE","83 Street","85 Street","EB"
"17976","Queens","2015","2","7","22","45","17","148877","POINT (1015922.4098093489 218665.56483070957)","23 AVENUE","Dead End","85 Street","WB"
"17976","Queens","2015","2","7","23","0","67","156485","POINT (1015934.7231410058 218639.46263506316)","23 AVENUE","83 Street","85 Street","EB"
"17976","Queens","2015","2","7","23","0","18","148877","POINT (1015922.4098093489 218665.56483070957)","23 AVENUE","Dead End","85 Street","WB"
"17976","Queens","2015","2","7","23","15","25","148877","POINT (1015922.4098093489 218665.56483070957)","23 AVENUE","Dead End","85 Street","WB"
"17976","Queens","2015","2","7","23","15","68","156485","POINT (1015934.7231410058 218639.46263506316)","23 AVENUE","83 Street","85 Street","EB"
"17976","Queens","2015","2","7","23","30","68","156485","POINT (1015934.7231410058 218639.46263506316)","23 AVENUE","83 Street","85 Street","EB"
"17976","Queens","2015","2","7","23","30","8","148877","POINT (1015922.4098093489 218665.56483070957)","23 AVENUE","Dead End","85 Street","WB"
"17976","Queens","2015","2","7","23","45","83","156485","POINT (1015934.7231410058 218639.46263506316)","23 AVENUE","83 Street","85 Street","EB"
"17976","Queens","2015","2","7","23","45","17","148877","POINT (1015922.4098093489 218665.56483070957)","23 AVENUE","Dead End","85 Street","WB"
"17976","Queens","2015","2","8","0","0","14","148877","POINT (1015922.4098093489 218665.56483070957)","23 AVENUE","Dead End","85 Street","WB"
"17976","Queens","2015","2","8","0","0","89","156485","POINT (1015934.7231410058 218639.46263506316)","23 AVENUE","83 Street","85 Street","EB"
"17976","Queens","2015","2","8","0","15","13","148877","POINT (1015922.4098093489 218665.56483070957)","23 AVENUE","Dead End","85 Street","WB"
"17976","Queens","2015","2","8","0","15","84","156485","POINT (1015934.7231410058 218639.46263506316)","23 AVENUE","83 Street","85 Street","EB"
"17976","Queens","2015","2","8","0","30","95","156485","POINT (1015934.7231410058 218639.46263506316)","23 AVENUE","83 Street","85 Street","EB"
"17976","Queens","2015","2","8","0","30","15","148877","POINT (1015922.4098093489 218665.56483070957)","23 AVENUE","Dead End","85 Street","WB"
"17976","Queens","2015","2","8","0","45","10","148877","POINT (1015922.4098093489 218665.56483070957)","23 AVENUE","Dead End","85 Street","WB"
"17976","Queens","2015","2","8","0","45","62","156485","POINT (1015934.7231410058 218639.46263506316)","23 AVENUE","83 Street","85 Street","EB"
"17976","Queens","2015","2","8","1","0","51","156485","POINT (1015934.7231410058 218639.46263506316)","23 AVENUE","83 Street","85 Street","EB"
"17976","Queens","2015","2","8","1","0","7","148877","POINT (1015922.4098093489 218665.56483070957)","23 AVENUE","Dead End","85 Street","WB"
"17976","Queens","2015","2","8","1","15","34","156485","POINT (1015934.7231410058 218639.46263506316)","23 AVENUE","83 Street","85 Street","EB"
"17976","Queens","2015","2","8","1","15","11","148877","POINT (1015922.4098093489 218665.56483070957)","23 AVENUE","Dead End","85 Street","WB"
"17976","Queens","2015","2","8","1","30","8","148877","POINT (1015922.4098093489 218665.56483070957)","23 AVENUE","Dead End","85 Street","WB"
"17976","Queens","2015","2","8","1","30","22","156485","POINT (1015934.7231410058 218639.46263506316)","23 AVENUE","83 Street","85 Street","EB"
"17976","Queens","2015","2","8","1","45","28","156485","POINT (1015934.7231410058 218639.46263506316)","23 AVENUE","83 Street","85 Street","EB"
